site_code,timestamp_local,nh4_uM,no3_uM,po4_uM,tdn_uM,tdp_uM,tpc_uM,tpn_uM,tpp_uM,tss_mgperLiter,spec_cond_uSpercm
GV00,2001-02-11T18:00:00,3.5,15.7,11.5,33.9,6.6,12832.6,1682.9,1999.7,-999,577
EL00,2001-02-11T16:15:00,0,13.9,11.3,14,4.5,10272.9,1165.7,1344.1,-999,496
EL00,2001-02-11T17:00:00,0.2,3.9,3.6,37.8,4.7,1873.2,157.6,50.1,-999,-999
EL00,2001-02-11T16:30:00,0,19.6,2.8,32.3,4.2,308.6,25,4,-999,-999
HO01,2001-02-11T17:30:00,0,5.2,1.7,214.7,3.8,120.6,7.9,0.5,-999,-999
CP01,2001-02-11T16:40:00,10.1,200.6,25,262.6,16.4,1869,162.2,25.5,-999,228
CP01,2001-02-11T18:20:00,2.8,84,12.3,154.4,12.4,2798.7,241,23.9,1006,312
CP01,2001-02-11T20:10:00,0,57.7,5.8,97.7,0.8,3306.8,285.5,20.8,1142,368
CP01,2001-02-11T22:40:00,0.1,93.3,6.6,160.9,3.7,1882.3,218.7,18.7,536.4,303
CP01,2001-02-12T01:20:00,0,78.1,5.1,101,3.6,515.8,46.3,4.3,-999,342
CP01,2001-02-12T08:30:00,0,64.4,4.2,110.9,1.2,259.4,23.2,2.4,-999,399
FK00,2001-02-11T16:50:00,10.1,234.6,26.7,356.7,20.1,4198,367,55.3,2459.3,-999
FK00,2001-02-11T18:30:00,9.7,279.4,22.1,391.3,15.6,1302.4,89,8.9,940.4,-999
FK00,2001-02-11T20:20:00,10.2,310.8,21.1,444.8,18.9,1669.4,129.8,15.6,1230.8,-999
FK00,2001-02-11T22:50:00,8.5,360.3,18.6,475.5,13.8,1957.9,129.8,16.4,998.1,-999
FK00,2001-02-12T01:30:00,11,472,18,674.7,17.3,630.8,42.7,5.2,-999,-999
FK00,2001-02-12T08:40:00,3.8,910,12.9,1079.9,8.9,216.5,17.9,1.4,-999,-999
SM01,2001-02-11T18:40:00,0.2,193.5,13.5,235,8.3,357.1,25.6,3.1,-999,-999
SM01,2001-02-11T20:30:00,0.1,34.7,4.2,58.1,0.6,695.9,58.6,5.1,-999,-999
SM01,2001-02-11T23:00:00,0,29,4.1,58.7,0.1,779.1,64.1,6.1,-999,-999
SM01,2001-02-12T01:40:00,0,32.6,3.6,64.1,2.6,412.1,33.9,3.2,-999,-999
SM01,2001-02-12T08:50:00,0,57.1,7.6,96,7.4,187.9,16.9,1.2,-999,-999
