day,DO.obs,SpCond,turbidity,pH,tempwater,Q.cfs
2012-12-21,10.9728125,335.88665873913044,287.9913043478261,8.253369565217392,0.14194852940625,816.75
2012-12-22,10.961666666666666,306.2083333333333,63.77708333333333,8.319375,0.09354166666666666,818.1875
2012-12-23,10.8365625,329.0833333333333,66.609375,8.328541666666666,0.3575,774.1458333333334
2012-12-24,10.615208333333333,341.28125,63.739583333333336,8.331041666666668,0.9540625,765.5520833333334
2012-12-25,10.304166666666667,336.21875,60.70520833333333,8.337291666666667,2.042708333333333,723.5
2012-12-26,10.451354166666667,336.4895833333333,60.00416666666666,8.334583333333333,1.4416666666666667,648.5833333333334
2012-12-27,10.53,341.40625,57.746875,8.3419791666666665,0.8421875,605.5729166666666
2012-12-28,10.674166666666666,342.59375,46.85729166666667,8.353020833333334,0.6483333333333333,561.1458333333334
2012-12-29,10.9084375,335.96875,41.260416666666664,8.364270833333332,-0.030520833333333334,501.3333333333333
2012-12-30,10.901666666666667,336.6145833333333,38.58020833333333,8.358645833333334,-0.08979166666666666,496.4842105263158
2012-12-31,10.4959375,356.0625,31.195833333333333,8.295625,-0.07666666666666666,514.7395833333334
2013-01-01,10.610833333333334,350.6145833333333,34.646875,8.325208333333334,-0.0759375,510.7604166666667
2013-01-02,10.782708333333334,356.59375,30.2125,8.319375,-0.07395833333333333,476.25
2013-01-03,10.888333333333334,362.15625,26.244791666666668,8.292916666666667,-0.0675,439.75
2013-01-04,10.943854166666666,372.3125,24.046875,8.2775,-0.0625,427.8020833333333
2013-01-05,10.817499999999999,377.1875,24.2,8.2896875,-0.05739583333333333,440.2604166666667
2013-01-06,10.716145833333334,377.28125,23.877083333333335,8.2716666666666665,-0.050624999999999996,481.2291666666667
2013-01-07,10.589375,366.7083333333333,24.094791666666666,8.272083333333333,-0.0440625,520.3020833333334
2013-01-08,10.567708333333334,356.59375,18.554166666666667,8.282916666666665,-0.02739583333333333,486.875
2013-01-09,10.62,352.1458333333333,17.152083333333334,8.290312499999999,-0.02333333333333333,485.2395833333333
2013-01-10,10.660520833333333,351.2708333333333,16.36875,8.293229166666666,-0.028749999999999998,487.5625
2013-01-11,10.49875,347.71875,16.876041666666666,8.298125,-0.028229166666666666,500.4791666666667
2013-01-12,10.5490625,352.34375,14.834375,8.281979166666668,-0.009687499999999998,439.63157894736844
2013-01-13,10.6128125,364.9479166666667,14.336458333333333,8.265833333333333,-0.016458333333333332,431.27659574468083
2013-01-14,10.611041666666667,372.5520833333333,14.411458333333334,8.276874999999999,-0.051666666666666666,455.7604166666667
2013-01-15,10.563020833333333,366.8541666666667,15.808333333333334,8.278437499999999,-0.0734375,474.1666666666667
2013-01-16,10.5875,367.71875,13.846875,8.263958333333333,-0.06677083333333333,466.75
2013-01-17,10.619479166666666,362.3229166666667,16.90625,8.2653125,-0.06197916666666667,503.4895833333333
2013-01-18,10.6040625,353.1458333333333,18.303125,8.261458333333334,-0.050104166666666665,490.4731182795699
2013-01-19,10.533854166666666,347.5416666666667,17.155208333333334,8.25375,-0.0396875,474.5
2013-01-20,10.471041666666666,346.5,17.655208333333334,8.248020833333333,-0.03208333333333333,473.125
2013-01-21,10.429895833333333,346.9791666666667,19.326041666666665,8.243541666666667,-0.0228125,475.20652173913044
2013-01-22,10.406979166666666,347.0625,17.59375,8.25,-0.012083333333333333,482.6979166666667
2013-01-23,10.3171875,345.21875,18.120833333333334,8.255833333333333,0.004791666666666668,482.6979166666667
2013-01-24,10.270625,343.9479166666667,19.628125,8.258958333333332,0.043958333333333335,481.5104166666667
2013-01-25,10.10875,342.1458333333333,20.186458333333334,8.275,0.052395833333333336,493.1354166666667
2013-01-26,9.821666666666667,339.7291666666667,26.319791666666667,8.309895833333334,0.0325,500.3541666666667
2013-01-27,9.681979166666666,335.4791666666667,37.034375,8.287916666666666,0.5583333333333333,528.1770833333334
2013-01-28,9.461875,335.5833333333333,66.05625,8.277291666666667,1.6879166666666667,549.375
2013-01-29,9.409791666666667,355.9270833333333,54.915625,8.3090625,3.8577083333333335,547.4375
2013-01-30,10.038541666666667,365.4166666666667,38.37291666666667,8.344583333333333,2.386875,484.2916666666667
2013-01-31,10.2346875,363.4895833333333,29.122916666666665,8.334895833333333,2.7414583333333336,478.5520833333333
2013-02-01,10.079895833333333,364.3020833333333,37.072916666666664,8.345416666666667,3.4530208333333334,500.2282608695652
2013-02-02,10.022083333333333,362.4479166666667,43.8125,8.358125,3.8246875,518.5416666666666
2013-02-03,9.967083333333333,356.625,42.303125,8.3659375,3.7177083333333334,537.3541666666666
2013-02-04,9.8415625,349.09375,41.619791666666664,8.3596875,4.44,535.3666666666667
