day,DO.obs,SpCond,turbidity,turbidity.capped,pH,tempwater,Q.cfs
2018-01-24,NA,NA,NA,NA,NA,NA,NA
2018-01-25,NA,NA,NA,NA,NA,NA,NA
2018-01-26,NA,NA,NA,NA,NA,NA,NA
2018-01-27,NA,NA,NA,NA,NA,NA,NA
2018-01-28,NA,NA,NA,NA,NA,NA,NA
2018-01-29,NA,NA,NA,NA,NA,NA,NA
2018-01-30,NA,NA,NA,NA,NA,NA,NA
2018-01-31,NA,NA,NA,NA,NA,NA,NA
2018-02-01,12.015028965510204,282.9510204081633,16.903,16.903,8.5972,4.99969168054,NA
2018-02-02,11.992265700208334,288.971875,20.246666666666666,20.246666666666666,8.495625,4.037272704479166,NA
2018-02-03,11.917226375208333,289.9583333333333,19.69726315789474,19.69726315789474,8.481666666666667,3.9604622157916665,NA
2018-02-04,11.923437050520834,288.5708333333333,19.06625,19.06625,8.4865625,3.856405715,NA
2018-02-05,11.934960225625,288.3041666666667,20.134895833333335,20.134895833333335,8.4871875,3.6258915266770835,NA
2018-02-06,12.056170900625,287.003125,20.154895833333335,20.154895833333335,8.4940625,2.8314475586875,NA
2018-02-07,12.328839908854167,285.3404255319149,18.557604166666668,18.557604166666668,8.483645833333334,2.4113725525104166,NA
2018-02-08,12.332967250208334,284.1411458333333,23.722708333333333,23.722708333333333,8.491319444427083,2.244308999010417,NA
2018-02-09,12.058344591875,285.04270833333334,20.054583333333333,20.054583333333333,8.496145833333333,2.9685139731875,NA
2018-02-10,11.815388600520834,285.6645833333333,23.111555555555555,23.111555555555555,8.50625,3.2158070493854165,NA
2018-02-11,11.981495108958333,284.33958333333334,22.163541666666667,22.163541666666667,8.488854166666666,2.764507802333333,NA
2018-02-12,12.084893283958333,283.1979166666667,21.515208333333334,21.515208333333334,8.5071875,2.5942066398958334,NA
2018-02-13,12.009749792291666,282.8020833333333,32.15145833333333,32.15145833333333,8.512291666666666,3.0718481367083332,NA
2018-02-14,12.163668800625,282.35520833333334,26.324583333333333,26.324583333333333,8.526770833333334,2.522178950625,NA
2018-02-15,11.639879475625,266.515625,41.97385416666667,41.97385416666667,8.401875,3.1966540730625,NA
2018-02-16,12.192548484375,301.628125,45.12927710843373,45.12927710843373,8.471770833333334,2.2910722451041665,NA
2018-02-17,12.222509159375,311.615625,36.7609375,36.7609375,8.488229166666667,2.90016970815625,NA
